,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team_short
0,453.0,Son Heung-Min,35.0,3051.0,23.0,16.992173850536346,7.0,7.84695353731513,86.0,73.0,2.0,0.0,F M,Tottenham,23.0,16.992173850536346,29.62477569282055,10.343093157745898,TOT
1,1250.0,Mohamed Salah,35.0,2757.0,23.0,24.36429724097252,13.0,9.79082047007978,139.0,62.0,1.0,0.0,F S,Liverpool,18.0,19.797284230589867,32.158807165920734,11.22198199853301,LIV
2,2371.0,Cristiano Ronaldo,30.0,2468.0,18.0,17.212839871644974,3.0,4.424966126680374,110.0,26.0,8.0,0.0,F S,Manchester United,15.0,14.92933338880539,23.25371290743351,7.720640169456601,MUN
3,647.0,Harry Kane,37.0,3229.0,17.0,20.685065291821957,9.0,9.8182877227664,133.0,48.0,5.0,0.0,F M S,Tottenham,13.0,17.640390004962683,31.89218296855688,9.808405855670571,TOT
4,838.0,Sadio Mané,34.0,2833.0,16.0,16.82961391285062,2.0,5.269158786162734,98.0,39.0,5.0,0.0,F S,Liverpool,16.0,16.82961391285062,28.448093853890896,11.072969859465957,LIV
5,447.0,Kevin De Bruyne,30.0,2214.0,15.0,5.949964629486203,8.0,11.260173857212067,78.0,87.0,2.0,0.0,M S,Manchester City,15.0,5.949964629486203,20.317840944975615,9.413899870589375,MCI
6,755.0,Jamie Vardy,25.0,1807.0,15.0,9.99194959551096,2.0,1.605514582246542,54.0,18.0,2.0,0.0,F S,Leicester,15.0,9.99194959551096,12.636012713424861,1.9982729041948915,LEI
7,6854.0,Diogo Jota,35.0,2401.0,15.0,17.347986850887537,4.0,5.8745966255664825,90.0,40.0,3.0,0.0,F S,Liverpool,15.0,17.347986850887537,25.77839158475399,6.919246884994209,LIV
8,522.0,Wilfried Zaha,33.0,2762.0,14.0,10.18411792628467,1.0,4.893215872347355,69.0,46.0,4.0,1.0,F M S,Crystal Palace,9.0,4.855935964733362,12.100898005068302,3.808694246225059,CRY
9,618.0,Raheem Sterling,30.0,2119.0,13.0,15.778135957196355,5.0,5.024925258010626,58.0,42.0,1.0,0.0,F M S,Manchester City,11.0,13.494629429653287,23.095513939857483,9.665588729083538,MCI
10,998.0,Ivan Toney,33.0,2905.0,12.0,12.048584450036287,5.0,7.34353103581816,88.0,43.0,8.0,0.0,F S,Brentford,7.0,8.242777068167925,12.169121081009507,2.3933650525286794,BRE
