,element,position,selling_price,multiplier,purchase_price,is_captain,is_vice_captain,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,name,value,Goals_Assists,position_short,team_short,understat_ID,xG,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,Difficulty,Avg_Difficulty,GW,Opponents,Home_away
0,254,Goalkeeper,40,1,40,False,False,0.0,0.0,95463,0,0,0,0,0,1,0.5,0.5,1,Danny,1.0,254,0,,0,40,95463.jpg,1.0,Ward,27.1,0,0,a,Leicester,13,4,488962,32728,221047,35103,0.2,1.0,Ward,360,0,0,0,10,0,0,0,0,0,7,0,43,55.2,0.0,0.0,5.5,144,18,363,18,307,16,256,18,0.0,,0.0,,0.0,,Danny Ward Ward,1.0,0,GK,LEI,473,0.0,0.0,0.0,0.0,0.0,0.0,0.48022858053445816,0.48022858053445816,"[3, 2, 2, 4]",2.75,"[5, 6, 7, 8]","['Man Utd', 'Brighton', 'Aston Villa', 'Spurs']","['H', 'a', 'H', 'a']"
1,357,Defender,50,1,50,False,False,0.0,0.0,77794,0,0,1,-1,0,2,4.5,5.5,2,Kieran,5.5,357,0,,0,51,77794.jpg,4.3,Trippier,28.2,0,0,a,Newcastle,4,22,1181200,113210,444261,65662,1.1,4.3,Trippier,360,1,0,2,4,0,0,0,1,0,0,2,92,102.4,102.0,17.0,22.2,40,8,24,7,202,57,52,6,1.0,,1.0,,0.0,,Kieran Trippier Trippier,4.3,1,D,NEW,652,0.11759638413786888,0.28579550608992577,2.0,5.0,1.0,0.11759638413786888,0.6259585320949554,0.5929981768131256,"[5, 2, 3, 2]",3.0,"[5, 6, 7, 8]","['Liverpool', 'Crystal Palace', 'West Ham', 'Bournemouth']","['a', 'H', 'a', 'H']"
2,285,Defender,75,1,75,False,False,0.0,0.0,169187,0,0,0,0,1,2,6.2,6.7,17,Trent,5.2,285,0,,0,75,169187.jpg,2.8,Alexander-Arnold,48.2,0,0,a,Liverpool,14,21,389256,152658,1028745,25286,0.7,2.8,Alexander-Arnold,352,1,1,1,5,0,0,0,1,0,0,3,107,110.0,200.1,58.0,36.9,28,4,2,1,75,8,14,1,1.0,,1.0,,0.0,,Trent Alexander-Arnold Alexander-Arnold,2.8,2,D,LIV,1791,0.18324057385325432,1.139004783704877,6.0,11.0,1.0,0.18324057385325432,4.031731486320496,3.0405710339546204,"[3, 2, 2, 4]",2.75,"[5, 6, 7, 8]","['Newcastle', 'Everton', 'Wolves', 'Chelsea']","['H', 'a', 'H', 'a']"
3,306,Defender,70,1,70,False,False,0.0,0.0,121145,0,0,1,-1,1,2,6.3,5.8,1,João,4.8,306,0,,0,71,121145.jpg,2.7,Cancelo,46.1,0,0,a,Man City,43,19,728546,33316,533873,169936,0.7,2.7,Cancelo,330,0,1,2,5,0,0,0,2,0,0,4,91,54.6,68.2,37.0,15.9,148,62,59,11,125,31,88,19,0.0,,0.0,,0.0,,João Cancelo Cancelo,2.7,1,D,MCI,2379,0.07850442454218864,0.21352466195821762,3.0,3.0,0.0,0.07850442454218864,1.9373160600662231,1.7658018097281456,"[2, 2, 3, 2]",2.25,"[5, 6, 7, 8]","[""Nott'm Forest"", 'Aston Villa', 'Spurs', 'Wolves']","['H', 'a', 'H', 'a']"
4,146,Defender,60,1,60,False,False,0.0,0.0,225796,0,0,1,-1,0,2,6.0,6.0,7,Reece,5.5,146,0,,0,61,225796.jpg,3.6,James,44.1,0,0,a,Chelsea,8,22,977662,116749,546069,41222,0.9,3.6,James,360,1,1,1,6,0,0,0,2,0,0,5,105,119.4,118.4,67.0,30.5,22,3,14,3,68,6,29,2,3.0,,1.0,,0.0,,Reece James James,3.6,2,D,CHE,8067,0.6072576269507408,1.4299674332141876,7.0,7.0,1.0,0.6072576269507408,2.6794369220733643,2.1574932783842087,"[2, 3, 2, 5]",3.0,"[5, 6, 7, 8]","['Southampton', 'West Ham', 'Fulham', 'Liverpool']","['a', 'H', 'a', 'H']"
5,283,Midfielder,130,2,130,True,False,0.0,0.0,118748,0,0,0,0,1,3,7.2,7.7,3,Mohamed,6.2,283,0,,0,130,118748.jpg,1.9,Salah,56.8,0,0,a,Liverpool,14,25,473090,21845,689533,268269,0.5,1.9,Salah,360,2,1,1,5,0,0,0,0,0,0,3,57,104.6,182.9,182.0,47.0,37,17,4,3,8,4,7,3,0.0,,0.0,,2.0,,Mohamed Salah Salah,1.9,3,M,LIV,1250,2.820126861333847,1.3446850329637527,12.0,15.0,2.0,2.820126861333847,4.9034735560417175,1.4820790514349937,"[3, 2, 2, 4]",2.75,"[5, 6, 7, 8]","['Newcastle', 'Everton', 'Wolves', 'Chelsea']","['H', 'a', 'H', 'a']"
6,233,Midfielder,60,1,60,False,False,0.0,0.0,221399,1,-1,1,-1,1,3,6.0,6.0,2,Jack,6.5,233,0,,0,61,221399.jpg,4.3,Harrison,4.0,0,0,a,Leeds,2,26,342216,43657,102287,27068,1.1,4.3,Harrison,328,1,3,1,4,0,0,0,2,0,0,5,93,144.6,158.7,84.0,38.7,10,4,6,5,55,38,10,6,1.0,,0.0,,0.0,,Jack Harrison Harrison,4.3,4,M,LEE,8720,1.0236202143132687,1.3667789176106453,3.0,13.0,1.0,1.0236202143132687,2.8211542293429375,0.837726317346096,"[2, 2, 2, 4]",2.5,"[5, 6, 7, 8]","['Everton', 'Brentford', ""Nott'm Forest"", 'Man Utd']","['H', 'a', 'H', 'a']"
7,261,Midfielder,80,1,80,False,False,75.0,75.0,172780,0,0,0,0,0,3,3.2,3.2,0,James,4.8,261,0,Muscle injury - 75% chance of playing,2022-08-25T13:00:06.073033Z,80,172780.jpg,2.4,Maddison,4.1,0,0,d,Leicester,13,19,246072,1692,342194,76282,0.6,2.4,Maddison,270,2,1,0,8,0,0,0,1,0,0,1,69,101.4,95.5,114.0,31.1,41,18,30,21,29,21,26,19,1.0,,1.0,,0.0,,James Maddison Maddison,2.4,3,M,LEI,6818,0.4948537051677704,0.1934775747358799,10.0,7.0,2.0,0.4948537051677704,0.5708779916167259,0.17260297387838364,"[3, 2, 2, 4]",2.75,"[5, 6, 7, 8]","['Man Utd', 'Brighton', 'Aston Villa', 'Spurs']","['H', 'a', 'H', 'a']"
8,83,Midfielder,46,1,46,False,False,0.0,0.0,183656,0,0,1,-1,0,3,4.2,4.2,2,Josh,4.2,83,0,,0,46,183656.jpg,3.7,Dasilva,10.8,0,0,a,Brentford,94,17,1160773,46733,331487,62833,0.9,3.7,Dasilva,255,2,0,1,3,0,0,0,1,0,0,0,58,89.8,27.0,41.0,15.8,58,24,158,93,109,64,89,55,3.0,,0.0,,4.0,,Josh Dasilva Dasilva,3.7,2,M,BRE,10405,0.09548991732299328,0.018449898809194565,3.0,1.0,2.0,0.09548991732299328,0.5447644758969545,0.44927455484867096,"[2, 2, 2, 3]",2.25,"[5, 6, 7, 8]","['Crystal Palace', 'Leeds', 'Southampton', 'Arsenal']","['a', 'H', 'a', 'H']"
9,427,Forward,114,1,115,False,False,0.0,0.0,78830,0,0,-1,1,0,4,7.0,7.5,10,Harry,6.5,427,0,,0,114,78830.jpg,2.3,Kane,17.5,0,0,a,Spurs,6,26,387176,63391,1230325,79479,0.6,2.3,Kane,360,4,0,2,3,0,0,1,2,0,0,6,111,185.4,121.3,242.0,54.9,3,2,13,1,5,4,1,1,0.0,,1.0,,1.0,,Harry Kane Kane,2.3,4,F,TOT,647,3.3638333529233932,1.1759916096925735,15.0,10.0,4.0,2.602664515376091,2.830248713493347,0.44367557764053345,"[3, 2, 5, 3]",3.25,"[5, 6, 7, 8]","['West Ham', 'Fulham', 'Man City', 'Leicester']","['a', 'H', 'a', 'H']"
