,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team_short
216,5264.0,Caglar Söyüncü,23.0,1802.0,1.0,0.5392082296311855,0.0,0.3269749563187361,10.0,7.0,2.0,0.0,D S,Leicester,1.0,0.5392082296311855,7.390434857457876,7.36866756901145,LEI
217,5545.0,Wilfred Ndidi,26.0,2181.0,1.0,0.5960319405421615,4.0,1.3334983801469207,16.0,16.0,6.0,0.0,D M S,Leicester,1.0,0.5960319405421615,10.23005054332316,8.72567112930119,LEI
218,5549.0,Luka Milivojevic,31.0,2374.0,1.0,2.213461100589484,1.0,1.7734643053263426,19.0,21.0,8.0,1.0,M S,Crystal Palace,0.0,0.6911234031431377,6.367301893886179,5.705257058143616,CRY
219,5609.0,Yves Bissouma,36.0,3121.0,1.0,1.0768232205882668,0.0,1.081232475116849,42.0,16.0,8.0,1.0,M S,Brighton,1.0,1.0768232205882668,9.739854503422976,8.210506806150079,BHA
220,5681.0,Giovani Lo Celso,18.0,955.0,1.0,1.525260753929615,1.0,1.196652302518487,15.0,15.0,5.0,0.0,M S,Tottenham,1.0,1.525260753929615,5.273323446512222,3.312727394513786,TOT
221,5735.0,Jean-Philippe Mateta,7.0,213.0,1.0,0.32543088495731354,0.0,0.016295328736305237,4.0,1.0,0.0,0.0,F S,Crystal Palace,1.0,0.32543088495731354,0.3973565027117729,0.13605083525180817,CRY
222,6042.0,Jan Bednarek,36.0,3111.0,1.0,0.46839267015457153,1.0,1.15994737111032,10.0,5.0,5.0,1.0,D,Southampton,1.0,0.46839267015457153,8.544505370780826,8.489990605041385,SOU
223,6080.0,Victor Lindelöf,29.0,2587.0,1.0,0.7988894507288933,1.0,0.4023786187171936,4.0,6.0,0.0,0.0,D,Manchester United,1.0,0.7988894507288933,9.030322801321745,8.881876270286739,MUN
224,6163.0,Nélson Semedo,34.0,2994.0,1.0,1.3097368124872446,1.0,0.9027991937473416,23.0,20.0,5.0,0.0,D M,Wolverhampton Wanderers,1.0,1.3097368124872446,7.686349012888968,6.1962723126634955,WOL
225,6314.0,Joachim Andersen,31.0,2732.0,1.0,1.3567862249910831,1.0,0.4516803417354822,13.0,8.0,7.0,1.0,D S,Fulham,1.0,1.3567862249910831,6.673858028836548,6.547641624696553,FUL
226,6424.0,Ben Johnson,14.0,506.0,1.0,0.48440982960164547,0.0,0.385865556076169,3.0,4.0,1.0,0.0,D M S,West Ham,1.0,0.48440982960164547,1.4439898766577244,0.66788793168962,WHU
227,6651.0,Grady Diangana,20.0,1249.0,1.0,1.0978213790804148,0.0,0.16204885952174664,14.0,5.0,0.0,0.0,F M S,West Bromwich Albion,1.0,1.0978213790804148,1.6292712818831205,0.6211172696202993,WES
228,6665.0,Curtis Jones,24.0,1174.0,1.0,1.758892709389329,2.0,1.5211435090750456,19.0,12.0,2.0,0.0,M S,Liverpool,1.0,1.758892709389329,7.742866411805153,5.182874273508787,LIV
229,6674.0,Rayan Ait Nouri,21.0,1414.0,1.0,0.5121664954349399,1.0,0.7904387172311544,16.0,14.0,1.0,0.0,D M S,Wolverhampton Wanderers,1.0,0.5121664954349399,2.7287227287888527,2.285053768195212,WOL
230,6817.0,Fred,30.0,2404.0,1.0,1.733165263198316,0.0,2.232571354135871,25.0,24.0,5.0,0.0,M S,Manchester United,1.0,1.733165263198316,13.519705224782228,10.688638936728239,MUN
231,6834.0,Joe Bryan,16.0,658.0,1.0,0.5813565868884325,0.0,0.2726944023743272,8.0,5.0,2.0,0.0,D M S,Fulham,1.0,0.5813565868884325,1.8991845548152924,1.300659827888012,FUL
232,6835.0,Tom Cairney,10.0,762.0,1.0,0.583964585326612,1.0,0.9888524450361729,12.0,17.0,2.0,0.0,M S,Fulham,1.0,0.583964585326612,3.3855622112751007,2.849907038733363,FUL
233,6850.0,Willy Boly,21.0,1880.0,1.0,1.1301858117803931,1.0,0.5512954220175743,15.0,3.0,2.0,0.0,D,Wolverhampton Wanderers,1.0,1.1301858117803931,2.8382370322942734,2.6631663888692856,WOL
234,6851.0,Conor Coady,37.0,3305.0,1.0,1.445029648952186,0.0,0.19623830169439316,7.0,3.0,5.0,0.0,D,Wolverhampton Wanderers,1.0,1.445029648952186,5.043202904053032,4.87485118303448,WOL
235,6857.0,Morgan Gibbs-White,11.0,395.0,1.0,0.8142988905310631,0.0,0.40694379061460495,10.0,8.0,1.0,0.0,F M S,Wolverhampton Wanderers,1.0,0.8142988905310631,1.7168077994138002,0.8314622566103935,WOL
236,6859.0,Kortney Hause,7.0,630.0,1.0,1.3037527613341808,0.0,0.0,5.0,0.0,2.0,0.0,D,Aston Villa,1.0,1.3037527613341808,1.804376021027565,1.804376021027565,AVL
237,6891.0,Ryan Fredericks,14.0,563.0,1.0,0.21433745697140694,1.0,1.298734912648797,4.0,12.0,2.0,0.0,D M S,West Ham,1.0,0.21433745697140694,1.0619316771626472,0.30801658518612385,WHU
238,6892.0,Fabián Balbuena,14.0,1197.0,1.0,1.0978245548903942,0.0,0.0,8.0,0.0,1.0,1.0,D S,West Ham,1.0,1.0978245548903942,2.218800287693739,1.9963053427636623,WHU
239,7063.0,Bernard,12.0,438.0,1.0,0.1936356108635664,0.0,0.5254483036696911,6.0,10.0,2.0,0.0,F M S,Everton,1.0,0.1936356108635664,1.282545143738389,0.7026593955233693,EVE
240,7236.0,Leander Dendoncker,33.0,2500.0,1.0,3.381598680280149,0.0,0.581333028152585,31.0,17.0,4.0,0.0,D M S,Wolverhampton Wanderers,1.0,3.381598680280149,8.177480114623904,5.363243671134114,WOL
